epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6764.87,0.82269,0.49911,0.99519,0.78863,0.67089,0.73153,0.31826,2.06561,1.23723,1.90726,0.000218,0.000218,0.000218
92,6836.65,0.82549,0.47927,0.99767,0.75042,0.67511,0.71371,0.31006,2.07087,1.28725,1.92242,0.0001982,0.0001982,0.0001982
93,6908.84,0.80617,0.47985,0.99775,0.7304,0.66301,0.70218,0.31129,2.06601,1.29002,1.92009,0.0001784,0.0001784,0.0001784
94,6981.09,0.8232,0.47963,0.9707,0.74491,0.64979,0.7077,0.31567,2.07471,1.26421,1.93876,0.0001586,0.0001586,0.0001586
95,7053.26,0.78572,0.46435,0.98393,0.75196,0.65401,0.70931,0.31427,2.08378,1.2159,1.96059,0.0001388,0.0001388,0.0001388
96,7125.12,0.71823,0.43284,0.95214,0.73422,0.66667,0.71141,0.31367,2.08286,1.21937,1.96075,0.000119,0.000119,0.000119
97,7197.12,0.76914,0.45103,0.96241,0.80619,0.63187,0.71703,0.31134,2.09468,1.23142,1.96955,9.92e-05,9.92e-05,9.92e-05
98,7269.47,0.72954,0.44188,0.93419,0.78378,0.62869,0.71436,0.31011,2.08902,1.23728,1.96417,7.94e-05,7.94e-05,7.94e-05
99,7341.69,0.72181,0.42947,0.94671,0.79351,0.62869,0.71535,0.30992,2.08457,1.23687,1.95712,5.96e-05,5.96e-05,5.96e-05
100,7414.65,0.73905,0.43633,0.93928,0.80192,0.63206,0.71796,0.312,2.08524,1.24474,1.95646,3.98e-05,3.98e-05,3.98e-05
